gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,10,6,45,59,51,3,6,6,3,A+
Male,7,0,12,12,36,2,10,6,2,A
Female,9,7,37,70,67,5,10,5,5,A-
Male,10,16,10,10,49,4,6,6,4,B
Female,10,6,73,78,58,6,6,5,6,A
Male,1,4,5,23,25,4,6,6,4,B+
Male,13,7,20,47,48,10,4,4,8,B
Male,18,8,13,11,42,3,12,1,3,A-
Male,14,4,25,30,57,2,7,6,1,B
Male,3,1,8,14,21,3,3,3,3,B
Male,8,5,22,39,38,5,8,5,4,B+
Male,3,0,11,4,28,1,6,6,1,B
Female,5,7,28,32,52,5,7,6,5,A
Male,8,3,8,3,22,0,5,5,0,B+
Male,8,1,1,3,17,0,10,3,0,B+
Male,33,4,2,7,21,1,4,4,1,C
Male,7,9,9,19,30,5,13,1,5,A
Male,0,2,12,22,24,4,14,1,4,A
Male,0,0,0,0,4,0,2,1,0,B+
Male,14,5,46,52,69,6,11,1,6,B+
Male,0,1,7,7,23,2,8,6,0,C+
Male,19,17,12,17,61,0,11,6,0,C
Male,14,9,55,69,80,11,12,6,9,B+
Male,4,1,5,16,22,7,5,4,6,B
Female,11,0,8,10,31,3,6,6,3,B
Female,7,1,16,26,29,6,7,6,6,B
Female,13,8,20,49,52,7,9,6,7,B+
Female,16,0,8,9,31,1,5,4,1,D+
Female,7,0,5,18,20,3,12,6,2,A
Male,26,1,11,13,54,1,13,6,1,B-
Male,8,1,9,27,32,5,10,6,3,A-
Male,10,38,46,52,56,3,7,4,2,A+
Male,15,2,12,23,30,4,3,2,4,C+
Male,37,0,5,20,38,4,7,6,4,B
Male,5,2,12,18,25,4,3,2,4,B+
Male,5,0,0,19,22,6,7,6,6,B-
Male,0,3,1,8,26,4,8,6,4,C
Male,9,0,0,1,25,0,8,6,0,C
Female,2,10,20,67,53,9,7,6,8,B
Male,0,0,0,1,19,0,7,5,0,B
Male,11,1,5,9,24,2,7,6,2,A
Female,18,4,14,29,53,5,13,6,5,A-
Male,8,2,1,14,24,3,5,5,3,C+
Male,0,0,0,3,4,3,2,1,3,C+
Female,7,1,22,20,50,2,11,6,2,B-
Female,24,14,12,46,49,9,27,5,6,A
Male,9,4,9,24,47,7,6,5,6,A+
Female,17,0,4,10,24,2,6,6,2,B-
Female,0,6,13,25,33,4,6,5,4,B+
Male,16,0,1,1,32,1,6,6,1,B+
Male,16,14,28,62,34,5,2,2,5,C-
Male,1,3,6,11,21,1,6,6,1,B
Male,10,6,22,23,46,4,4,4,4,B-
Male,8,3,11,24,47,4,14,6,4,C+
Male,6,1,4,5,19,2,4,4,1,B-
Male,13,14,8,20,37,1,8,4,1,B
Female,17,7,28,37,62,5,6,6,5,B-
Male,9,9,30,48,61,6,10,5,5,A
Male,1,0,0,2,15,0,6,5,0,C+
Male,19,0,7,25,24,3,10,5,3,C-
Male,12,2,4,11,30,3,6,4,2,B+
Male,0,2,2,7,16,1,7,6,1,B-
Male,13,13,3,2,28,0,5,5,0,B
Male,3,0,5,5,19,2,9,4,2,B-
Male,4,2,10,22,33,5,13,6,5,C+
Female,6,1,8,19,32,5,5,4,5,B
Male,11,2,28,37,38,3,8,4,3,B
Female,19,1,9,37,31,3,7,4,3,C
Male,16,14,17,24,37,3,11,1,3,C+
Female,17,3,12,20,31,6,5,4,5,B
Male,15,3,10,14,37,1,4,4,1,B
Male,11,1,1,2,12,1,5,4,1,C+
Male,13,0,0,3,29,2,5,5,2,C
Female,11,7,16,53,27,5,4,4,5,B
Male,8,0,6,6,27,2,7,6,2,B-
Male,7,1,1,3,22,1,7,5,1,B-
Male,11,6,5,6,21,1,3,3,1,C+
Male,0,1,8,2,13,0,3,1,0,C-
Male,14,4,0,0,14,0,3,2,0,C
Male,9,0,14,32,34,3,8,5,3,C
Male,1,0,5,5,19,1,2,2,1,C-
Male,11,4,39,44,70,13,7,5,13,B
Male,10,2,19,43,50,6,6,5,6,C+
Female,6,2,36,33,61,5,4,4,5,B-
Male,6,0,0,5,15,1,9,4,1,B-
Male,5,3,9,19,29,5,5,5,5,A+
Male,31,34,57,113,101,6,9,4,6,C+
Male,8,8,8,14,32,0,4,4,0,B
Female,5,0,5,4,28,2,7,6,1,B+
Female,15,1,0,15,19,3,5,4,3,B
Female,8,3,6,12,19,8,4,3,7,B+
Male,2,2,7,20,19,4,13,4,3,B-
Male,0,0,0,1,16,1,7,6,1,C+
Female,2,5,25,41,52,15,6,4,12,B
Female,22,0,6,22,31,5,4,4,5,C+
Female,20,8,23,39,77,3,10,6,3,A
Male,1,3,7,4,16,1,5,3,1,C-
Male,17,1,6,12,38,2,5,5,2,B-
Male,22,1,3,14,55,6,11,5,6,B
Female,17,3,1,26,36,11,6,5,8,B
Female,7,3,27,70,40,11,6,5,9,B+
Female,14,1,14,33,51,9,3,3,8,B+
Female,7,0,2,18,26,4,3,3,4,C+
Male,15,3,6,10,30,1,3,3,1,C
Female,11,0,2,14,26,5,10,5,5,B
Male,14,12,58,94,91,25,9,5,13,A+
Female,15,4,9,13,50,4,10,5,4,B+
Male,3,6,0,6,11,2,5,5,2,B-
Male,16,9,14,38,39,6,6,5,5,B+
Female,11,0,9,6,23,1,8,4,1,B-
Female,36,2,0,8,20,4,7,5,4,B
Male,9,0,5,3,21,2,7,2,1,C+
Male,23,15,8,61,41,9,7,5,8,C
Female,11,0,0,10,23,5,5,4,5,C+
Female,6,0,1,6,24,2,4,4,2,C+
Male,20,19,35,48,64,10,7,4,8,A+
Male,4,0,1,2,23,1,12,5,1,B-
Male,26,4,4,9,47,0,7,5,0,C+
Male,2,0,2,1,9,0,2,2,0,B+
Male,25,1,4,24,49,2,12,6,2,B-
Female,9,3,4,9,20,3,2,2,3,B
Male,10,0,1,4,23,1,5,5,1,A-
Female,11,3,6,9,17,3,18,3,2,B+
Female,7,0,8,9,20,5,5,5,5,B
Male,1,4,6,15,20,2,5,4,2,B
Male,24,17,102,99,169,6,9,5,0,C-
Male,6,2,11,10,24,1,6,3,1,C+
Female,7,0,4,8,22,3,1,1,3,B+
Female,7,0,0,26,24,18,7,5,8,A-
Female,5,1,2,9,19,4,6,5,4,B
Male,11,0,3,8,22,2,6,2,2,B-
Female,16,3,4,44,22,10,13,4,6,B-
Male,0,0,9,9,20,2,10,5,2,B
Male,30,23,26,44,60,9,9,5,8,A-
Male,3,9,8,38,20,2,6,5,2,A
Male,18,2,22,30,50,5,6,5,4,B+
Male,25,0,10,24,65,2,5,5,2,B
Male,12,4,10,11,36,2,2,2,1,A-
Female,3,0,26,33,35,3,8,0,3,A-
Male,8,9,8,28,33,11,3,3,11,B
Male,9,2,26,43,40,11,2,2,6,A+
Male,0,0,0,0,0,0,0,0,0,E
Female,5,2,14,21,48,2,6,5,2,B+
Male,26,0,10,18,51,1,7,5,1,B-
Male,17,5,14,36,29,6,5,5,6,A
Male,13,17,43,75,75,10,10,6,9,A
Male,4,0,3,5,13,2,4,4,2,C
Male,37,1,3,8,69,2,11,5,2,C+
Male,9,0,6,1,29,1,5,5,1,B+
