gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,20,6,38,13,91,1,8,4,1,A
Male,2,1,1,3,28,1,6,5,1,B
Male,8,7,5,1,53,2,4,4,0,B
Male,9,4,9,10,40,2,3,3,1,B
Male,2,4,8,2,25,1,6,4,0,B
Male,0,1,11,7,29,1,3,3,1,B
Female,12,2,42,19,62,1,5,3,1,A
Female,32,2,27,14,92,1,8,5,0,A
Male,7,2,14,12,33,1,11,4,1,A
Female,22,0,6,9,26,1,6,3,1,B
Female,7,1,5,8,35,2,5,5,2,A
Male,10,0,14,2,37,0,2,2,0,B
Male,11,3,20,8,69,1,5,4,1,A
Male,1,0,0,3,22,1,5,5,1,B
Male,12,1,13,11,64,1,4,3,1,A
Male,6,0,11,7,42,1,4,3,1,A
Male,3,0,5,9,28,3,8,4,1,A
Female,11,0,16,21,56,2,8,5,2,B
Male,6,5,5,6,20,1,8,1,1,B
Male,8,0,5,4,37,2,7,4,2,A
Male,12,1,22,3,59,1,6,3,1,A
Male,8,8,44,12,82,2,6,4,1,A
Male,1,0,0,3,28,1,7,5,1,A
Male,4,5,14,13,44,2,6,4,1,A
Male,6,4,4,11,48,2,5,5,1,A
Female,33,0,8,11,164,1,9,5,1,B
Male,9,1,37,15,57,1,9,6,1,B
Male,6,1,4,9,38,2,3,3,2,B
Male,9,0,12,13,55,1,5,5,1,B
Male,3,0,1,0,30,0,5,4,0,B
Female,1,3,4,9,34,1,13,4,1,B
Male,9,0,4,4,29,2,8,5,1,B
Male,15,9,11,7,45,3,5,5,1,A
Male,6,3,21,34,49,1,4,3,1,A
Male,7,2,12,7,37,1,4,4,1,B
Male,8,0,2,4,27,1,5,4,1,B
Male,8,0,8,4,34,1,9,4,1,B
Male,7,0,10,9,47,2,6,5,2,A
Male,15,14,35,11,97,1,7,5,1,B
Male,6,2,10,6,20,1,0,0,1,A
Male,23,34,82,35,99,4,6,5,2,A
Female,14,2,17,11,74,1,5,4,1,A
Male,8,19,31,15,70,1,20,5,1,B
Male,13,1,5,5,34,1,5,5,1,A
Female,15,3,31,12,70,1,8,3,1,A
Female,3,0,8,20,33,2,8,2,2,B
Male,12,0,4,5,26,2,3,3,1,B
Male,12,3,6,5,44,1,5,5,1,B
Male,6,2,12,7,43,1,8,5,1,A
Male,3,2,12,11,24,2,2,2,2,B
Male,29,3,44,32,120,1,13,5,1,A
Female,1,0,5,1,19,1,7,5,0,A
Male,15,0,2,0,38,0,7,4,0,A
Male,4,0,2,2,27,0,2,2,0,A
Male,11,4,17,19,37,2,5,5,2,B
Male,7,3,6,5,54,1,7,5,1,B
Male,17,3,4,1,34,0,7,5,0,B
Male,12,1,10,14,48,3,4,4,1,A
Male,3,1,4,7,24,1,7,5,1,A
Male,1,0,0,0,4,0,2,1,0,C
Female,1,0,1,4,25,1,3,3,1,A
Male,7,3,14,11,47,3,6,5,3,B
Male,15,4,20,13,65,2,8,2,1,A
Male,2,0,1,1,16,1,9,4,1,A
Male,14,0,7,3,59,1,4,4,1,A
Male,11,4,41,22,67,2,10,4,1,B
Female,10,5,28,28,59,4,9,5,3,A
Male,0,0,0,5,3,1,0,0,1,B
Male,9,0,31,4,48,1,5,4,0,A
Male,9,0,7,1,34,1,5,4,0,B
Female,10,1,15,20,68,2,4,4,1,A
Male,12,0,13,5,82,1,5,4,1,A
Male,6,0,8,12,45,2,5,5,1,A
Male,7,1,7,3,22,1,1,1,1,C
Male,10,12,44,18,81,3,7,5,1,A
Male,10,3,13,5,33,1,5,5,1,B
Female,9,0,9,7,36,1,5,4,1,B
Male,8,0,0,0,23,0,5,5,0,A
Male,1,1,3,0,15,1,7,5,0,B
Male,2,2,25,18,57,2,4,3,2,A
Female,2,2,6,3,30,1,6,5,0,A
Male,13,1,19,15,52,3,4,4,3,B
Male,1,0,6,1,36,0,6,5,0,A
Male,7,0,11,3,44,1,5,3,1,B
Female,15,1,17,8,54,2,3,3,1,B
Male,10,0,17,11,55,1,5,5,1,A
Male,3,2,11,3,23,1,5,2,1,B
Male,8,4,26,18,54,1,6,5,1,A
Male,8,0,0,4,18,1,3,3,1,A
Male,7,4,12,13,32,1,8,5,1,B
Male,5,1,11,14,41,1,3,3,1,A
Male,22,0,51,27,88,1,8,4,1,A
Male,15,1,10,2,59,1,5,5,0,B
Male,10,1,19,10,64,1,4,4,0,B
Male,5,5,28,16,63,2,5,5,2,A
Male,5,0,4,4,31,1,3,3,1,A
Male,6,0,6,9,34,1,7,3,1,A
Female,4,0,7,4,60,1,6,5,1,B
Female,9,0,6,11,32,1,3,3,1,B
Male,1,0,1,4,29,1,5,4,1,B
Male,8,1,21,18,68,2,7,4,2,A
Male,21,2,34,15,90,1,7,5,1,A
Male,1,0,1,2,15,0,2,2,0,C
Male,6,3,11,5,34,1,3,3,1,B
Male,4,1,6,3,19,1,2,2,1,B
Male,5,2,7,5,43,2,5,4,1,B
